ID_Jugador;Nombre;Apellidos;Nacionalidad;Fecha_Nacimiento
238329;Noa;Major;ISR;20050330
233742;Yaroslava;Bartashevich;RUS;20050329
223282;Zeynep Sila;Ege;TUR;20050328
239127;Anna;Novratidou;GRE;20050328
241736;Jana;Elagamy;EGY;20050327
222997;Lana;Kamel;EGY;20050324
223129;Michaela;Laki;GRE;20050324
230885;Masa;Viriant;SLO;20050324
234476;Therese;Harboe Holst;DEN;20050323
252572;Ada;Gergec;GER;20050323
223395;Lucia;Gomez Delgado;ESP;20050322
239436;Kayla;Cross;CAN;20050321
259567;Stefani;Webb;AUS;20050320
239157;Sandugash;Kenzhibayeva;KAZ;20050318
239489;Danica;Nedeljkovic;SRB;20050318
252522;Leela;Cline;USA;20050318
232878;Margherita;Viglietti;ITA;20050317
246503;Lucie;Zasterova;CZE;20050317
232871;Mariya;Dolzhenko;UKR;20050315
222980;Lucie;Havlickova;CZE;20050313
252536;Anastasia;Vyskrebentseva;RUS;20050305
223214;Zijun;Jiang;CHN;20050303
247671;Erin;Mckenzie;RSA;20050301
252590;Tian Xin;Chang;TPE;20050301
256703;Jana;Stojanova;BUL;20050227
223335;Cadence;Brace;CAN;20050225
242447;Emma;Namnieks;EST;20050225
234253;Isabella;Chhiv;USA;20050222
239120;Lizi;Dolidze;GEO;20050222
247666;Candela;Aparisi Gonzalez Vallarino;ESP;20050222
235158;Elisa;Rubio;FRA;20050219
246486;Gabriela;Miteva;BUL;20050218
223359;Amelie;Smejkalova;CZE;20050216
253658;Cecilia;Manitto;ITA;20050216
230870;Ella;Seidel;GER;20050214
253668;Anja;Petkovic;SRB;20050213
236981;Emma;Jouy;FRA;20050211
223297;Tea;Zivic;FRA;20050210
231624;Anna;Paradisi;ITA;20050210
241015;Francesca;Miglio;ITA;20050210
252555;Lauren;Hatfield;USA;20050210
234484;Constance;Levivier;FRA;20050208
242449;Alissia Aleksandra;Kivi;EST;20050207
252485;Carolina;Xavier Laydner;BRA;20050205
254750;Daria;Tudor;ROU;20050205
256677;Deborah;Dominguez Collado;GTM;20050204
233731;Carle;Botha;RSA;20050201
223265;Kenzy;Abdelaal;EGY;20050131
223294;Maria Luisa Cusma;Bloot;BRA;20050131
223415;Federica;Urgesi;ITA;20050129
238183;Liam;Oved;ISR;20050127
223330;Maelie;Monfils;FRA;20050125
223427;Annelin;Bakker;NED;20050125
246484;Liel Marlies;Rothensteiner;AUT;20050125
230128;Renad;Ayman Maamoun;EGY;20050124
231636;Raquel;Caballero Chica;ESP;20050122
239439;Mara;Marty;ESP;20050121
247655;Valentina;Rodas Carcamo;COL;20050119
239437;Ahmani;Guichard;USA;20050118
247647;Jenny;Lim;FRA;20050117
247644;Ariella;Burstein;COL;20050116
223674;Nouray;Metwally;EGY;20050115
236964;Tania;Sfilio;ARG;20050115
248659;Vanesa;Suarez;VEN;20050114
259110;Sameeksha;Shroff;IND;20050114
247674;Ekua;Youri;BWA;20050112
223159;Vivian;Yang;NZL;20050111
239431;Defne;Ursan;TUR;20050111
223311;Lara;Eroglu;TUR;20050110
235163;Zeynep Ekin;Barut;TUR;20050110
256696;Vittoria;Solano;ITA;20050110
223428;Beatriz;Casaca;PUR;20050108
239181;Anamari;Znuderl;SLO;20050107
258193;Malaka;Salem;PLE;20050107
